n,mode,rows,batch,median_us,min_us,p95_us,plan
1000,index,1,21,2.078,2.063,3.485,"SEARCH users USING PRIMARY KEY (id=?)"
1000,scan,1,6,16.012,15.644,16.473,"SCAN users"
10000,index,1,45,2.098,1.996,2.222,"SEARCH users USING PRIMARY KEY (id=?)"
10000,scan,1,1,138.242,132.236,141.430,"SCAN users"
100000,index,1,46,2.139,2.036,2.286,"SEARCH users USING PRIMARY KEY (id=?)"
100000,scan,1,1,1777.836,1692.052,1836.623,"SCAN users"
1000000,index,1,46,2.166,2.059,2.306,"SEARCH users USING PRIMARY KEY (id=?)"
1000000,scan,1,1,20067.348,19392.988,20708.307,"SCAN users"
