n,pages,index_height,median_ms,min_ms,p95_ms,us_per_row
1000,9,2,0.909,0.599,1.110,0.9085
10000,84,3,4.038,3.157,5.175,0.4038
100000,834,3,14.210,14.045,20.050,0.1421
1000000,8334,4,189.337,187.404,239.363,0.1893
